2020-05-31 13:05:64 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-05-31 13:05:752 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-05-31 13:05:358 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-05-31 15:05:433 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:139 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:502 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:707 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:75 INFO  HomePage :23 - Clicking on login link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Login')]'
2020-05-31 15:05:277 INFO  BrowserSelector :32 - Launching IE Browser
2020-05-31 15:05:858 INFO  BrowserSelector :32 - Launching IE Browser
2020-05-31 15:05:317 INFO  HomePage :23 - Clicking on login link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Login')]'
2020-05-31 15:05:275 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:353 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:771 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:716 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:41 INFO  HomePage :23 - Clicking on login link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Login')]'
2020-05-31 15:05:52 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:986 INFO  HomePage :23 - Clicking on login link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Login')]'
2020-05-31 15:05:174 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:351 INFO  HomePage :23 - Clicking on login link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Login')]'
2020-05-31 15:05:656 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:64 INFO  BrowserSelector :32 - Launching IE Browser
2020-05-31 15:05:96 INFO  BrowserSelector :32 - Launching IE Browser
2020-05-31 15:05:618 INFO  BrowserSelector :32 - Launching IE Browser
2020-05-31 15:05:560 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:10 INFO  HomePage :23 - Clicking on login link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Login')]'
2020-05-31 15:05:346 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:157 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 15:05:689 INFO  HomePage :23 - Clicking on login link Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Login')]'
2020-05-31 15:05:678 INFO  BrowserSelector :28 - Launching Firefox Browser
2020-05-31 16:05:944 INFO  BrowserSelector :28 - Launching Firefox Browser
